Eulogy Belgian Tavern	39.948202	-75.143817	136 Chestnut Street	(215) 413-1918	5:00 pm	7:00 pm	$3 Stella, Leffe, & Hoegaarden
Standard Tap	39.964140	-75.140477	901 N 2nd Street	215-238-0630	4:00 pm	6:00 pm	1/2 off weekly featured cocktail (rotating), 1/2 off weekly featured brewery beers (rotating), discount happy hour snacks
Bainbridge Street Barrel House	39.951125	-75.171573	625-27 S. 6th Street	267-324-3553	4:30 pm	6:30 pm	1/2 price drafts; $5 glasses of chardonnay and cabernet
Cavanaugh's Rittenhouse	39.961716	-75.148100	1823 Sansom Street	215-665-9500	11:30 am	12:00 am	$3.75 Bud Light Bottles; 1/2 Price Cheesesteaks
Cavanaugh's Rittenhouse	39.961716	-75.148100	1823 Sansom Street	215-665-9500	5:00 pm	7:00 pm	$2 off beer, wine and mixed drinks; half priced pub menu
12 Steps Down	39.952509	-75.160616	831 Christian Street	215-238-0379	11:00 am	3:00 pm	$3 Bloody Mary's & Mimosas
12 Steps Down	39.952509	-75.160616	831 Christian Street	215-238-0379	5:00 pm	7:00 pm	Discounted drinks
13 Restaurant	39.939034	-75.157629	1201 Market Street	215-625-6795	5:00 pm	7:00 pm	$3 All Drafts, $5 Cosmos
1518 Bar and Grill	39.950232	-75.166639	1518 Sansom Street	267-639-6851	5:00 pm	7:00 pm	$1 Off All Beer, $5 Merlot and Chardonnay, $5 Well Drinks
2nd Story Brewing	39.948474	-75.143556	117 Chestnut Street	267-314-5770	11:30 am	2:00 am	$4 Select Drafts, $7.50 Flights
2nd Street Brew House	39.962069	-75.141417	1700 S 2nd Street	267-687-7964	4:00 pm	6:00 pm	$3 select drafts & discounted food
700, The	39.926636	-75.149383	700 N 2nd Street	215-413-3181	5:00 pm	7:00 pm	$1 off everything
a.bar	39.950676	-75.168538	135 S 18th Street	215-825-7035	4:00 pm	6:00 pm	$4 Rotating Draft Beer; $1.50 Rotating Oyster in the Half Shell; $10 Raw Bar Tasting of 2 Items; $9 Cheese Plate; $8 House-Crafted Punch; $8 Select Red or White Wine
Abbaye	39.950365	-75.170436	637 N. 3rd Street	215-627-6711	4:00 pm	6:00 pm	$2 Off Drafts; $3 Wells; $5 Wines; Nothing Over $5 Happy Hour Menu
Abe Fisher	39.926059	-75.167666	1623 Sansom Street	215-867-0088	5:00 pm	7:00 pm	$5 Bites $7 Select Cocktails and Wine
Adobe Cafe - South Philly	39.962210	-75.142918	1919 E. Passyunk Avenue	215-551-2243	4:30 pm	6:30 pm	$2 off house Margaritas, $1 Off mixed drinks and beers, $0.45 wings, $4-5 food menu
Aki	39.948699	-75.161149	1210 Walnut Street	215-985-1838	4:30 pm	7:00 pm	$3 beer, $4 wine and $6 specialty cocktails and sake
Alla Spina	39.964348	-75.161465	1410 Mount Vernon Street	215-600-0017	4:30 pm	6:30 pm	$3 Brooklyn cans and Fernet Branca shots, half off select local drafts, $4 Deschutes Mirror Pond bottles, $6 select wines and $7 Negroni on tap; special snack menu
Alma de Cuba	39.949672	-75.152562	1623 Walnut Street	215-988-1799	4:00 pm	7:00 pm	$6 Select Cocktails and $6 Select Tapas in Downstairs Lounge and Bar
Amada	39.950081	-75.168526	217 Chestnut Street	215-625-2450	5:00 pm	7:00 pm	$4 beers, $5 Sangria. $6 wines and $8 cocktails; $5 tapas
American Sardine Bar	39.948677	-75.144856	1800 Federal Street	215-334-2337	4:00 pm	6:00 pm	Half off select cans, a boilermaker of the week and select food menu
Aqua	39.936594	-75.173741	705 Chestnut Street	215-928-2838	4:00 pm	7:00 pm	$3 Beer, $4 Wine, $5 Apps, $6 Cocktails
Atlantis	39.948777	-75.145673	2442 Frankford Avenue	215-739-4929	5:00 pm	7:00 pm	$0.50 Off All Drinks.
B Side Lounge	39.953506	-75.192435	241 Chestnut Street	484-388-1300	5:00 pm	7:00 pm	$2 Domestic Bottles, $4 Select Wines, $5 Daily Cocktail, $6 Margherita Pizza
B Side Lounge	39.953506	-75.192435	241 Chestnut Street	484-388-1300	10:00 pm	2:00 am	$4 Coronas, $5 Apple Martinis, $8 Tokyo Teas
Baby Blues BBQ	39.948774	-75.142173	3402 Sansom Street	215-222-4444	11:30 am	10:00 pm	1/2 Price Bottles of Wine
Baby Blues BBQ	39.948774	-75.142173	3402 Sansom Street	215-222-4444	4:00 pm	6:00 pm	$3 Drafts, $4 Well Drinks, $5 Glasses of House Wine
Baggataway Tavern	39.947939	-75.164239	31 N. Front Street	610-834-8085	5:00 pm	7:00 pm	$3 select craft drafts and free wings
