M Restaurant at The Morris House	231 S. 8th Street	215-625-6666	4:00 pm	10:00 pm	3 for $15 Bar Bites at the Bar and Outdoor Cocktail Area
M Restaurant at The Morris House	231 S. 8th Street	215-625-6666	4:00 pm	6:00 pm	$4 Beers; $6 Wines, $6 Cocktails; 3 for $15 Bar Bites
Standard Tap	901 N 2nd Street	215-238-0630	4:00 pm	6:00 pm	1/2 off weekly featured cocktail (rotating), 1/2 off weekly featured brewery beers (rotating), discount happy hour snacks
1 Tippling Place	2006 Chestnut Street	215-665-0456	5:00 pm	7:00 pm	$1-2 off Select Cocktails; $5 Fish House Punch
Bainbridge Street Barrel House	625-27 S. 6th Street	267-324-3553	4:30 pm	6:30 pm	1/2 price drafts; $5 glasses of chardonnay and cabernet
Bainbridge Street Barrel House	625-27 S. 6th Street	267-324-3553	8:00 pm	10:00 pm	$4 Pint Specials
Cavanaugh's Rittenhouse	1823 Sansom Street	215-665-9500	11:30 am	2:00 am	$3.75 Yuengling drafts and half priced burgers
Cavanaugh's Rittenhouse	1823 Sansom Street	215-665-9500	5:00 pm	7:00 pm	$2 off beer, wine and mixed drinks; half priced pub menu
Eulogy Belgian Tavern	136 Chestnut Street	(215) 413-1918	5:00 pm	7:00 pm	$3 Stella, Leffe, & Hoegaarden
1 Tippling Place	2006 Chestnut Street	215-665-0456	5:00 pm	7:00 pm	$1-2 off Select Cocktails; $5 Fish House Punch
12 Steps Down	831 Christian Street	215-238-0379	11:00 am	3:00 pm	$3 Bloody Mary's & Mimosas
12 Steps Down	831 Christian Street	215-238-0379	5:00 pm	7:00 pm	Discounted drinks
12 Steps Down	831 Christian Street	215-238-0379	9:00 pm	2:00 am	
13 Restaurant	1201 Market Street	215-625-6795	5:00 pm	7:00 pm	$3 All Drafts, $5 Cosmos
1518 Bar and Grill	1518 Sansom Street	267-639-6851	5:00 pm	7:00 pm	$1 Off All Beer, $5 Merlot and Chardonnay, $5 Well Drinks
2nd Story Brewing	117 Chestnut Street	267-314-5770	11:30 am	2:00 am	$4 Select Drafts, $7.50 Flights
2nd Street Brew House	1700 S 2nd Street	267-687-7964	4:00 pm	6:00 pm	Half off select drafts & food
700, The	700 N 2nd Street	215-413-3181	5:00 pm	7:00 pm	$1 off everything
a.bar	135 S 18th Street	215-825-7035	4:00 pm	6:00 pm	$4 Rotating Draft Beer; $1.50 Rotating Oyster in the Half Shell; $10 Raw Bar Tasting of 2 Items; $9 Cheese Plate; $8 House-Crafted Punch; $8 Select Red or White Wine
Abbaye	637 N. 3rd Street	215-627-6711	4:00 pm	6:00 pm	$2 Off Drafts; $3 Wells; $5 Wines; Nothing Over $5 Happy Hour Menu
Abe Fisher	1623 Sansom Street	215-867-0088	5:00 pm	7:00 pm	$5 Bites $7 Select Cocktails and Wine
Adobe Cafe - South Philly	1919 E. Passyunk Avenue	215-551-2243	4:30 pm	6:30 pm	$2 off house Margaritas, $1 Off mixed drinks and beers, $0.45 wings, $4-5 food menu
Aki	1210 Walnut Street	215-985-1838	4:30 pm	7:00 pm	$3 beer, $4 wine and $6 specialty cocktails and sake
Alla Spina	1410 Mount Vernon Street	215-600-0017	4:30 pm	6:30 pm	$3 Brooklyn cans and Fernet Branca shots, half off select local drafts, $4 Deschutes Mirror Pond bottles, $6 select wines and $7 Negroni on tap; special snack menu
Alma de Cuba	1623 Walnut Street	215-988-1799	4:00 pm	7:00 pm	$6 Select Cocktails and $6 Select Tapas in Downstairs Lounge and Bar
Amada	217 Chestnut Street	215-625-2450	5:00 pm	7:00 pm	$4 beers, $5 Sangria. $6 wines and $8 cocktails; $5 tapas
American Sardine Bar	1800 Federal Street	215-334-2337	4:00 pm	6:00 pm	Half off select cans, a boilermaker of the week and select food menu
Aqua	705 Chestnut Street	215-928-2838	4:00 pm	7:00 pm	$3 Beer, $4 Wine, $5 Apps, $6 Cocktails
Atlantis	2442 Frankford Avenue	215-739-4929	5:00 pm	7:00 pm	$0.50 Off All Drinks.
B Side Lounge	241 Chestnut Street	484-388-1300	5:00 pm	7:00 pm	$2 Domestic Bottles, $4 Select Wines, $5 Daily Cocktail, $6 Margherita Pizza
B Side Lounge	241 Chestnut Street	484-388-1300	10:00 pm	2:00 am	$4 Coronas, $5 Apple Martinis, $8 Tokyo Teas
Baby Blues BBQ	3402 Sansom Street	215-222-4444	11:30 am	10:00 pm	$4 Sam Adams Drafts
Baby Blues BBQ	3402 Sansom Street	215-222-4444	4:00 pm	6:00 pm	$3 Drafts, $4 Well Drinks, $5 Glasses of House Wine
Baggataway Tavern	31 N. Front Street	610-834-8085	5:00 pm	7:00 pm	$3 select craft drafts and free wings
Baggataway Tavern	31 N. Front Street	610-834-8085	7:00 pm	12:00 am	$3 select craft beer and 2-for-1 burgers
Bainbridge Street Barrel House	625-27 S. 6th Street	267-324-3553	4:30 pm	6:30 pm	1/2 price drafts; $5 glasses of chardonnay and cabernet
Bainbridge Street Barrel House	625-27 S. 6th Street	267-324-3553	8:00 pm	10:00 pm	$4 Pint Specials
Balcony at the Doubletree	237 S. Broad Street	215-893-1600	4:00 pm	6:00 pm	$4 Wines & Cocktails
Bank & Bourbon	1200 Market Street	215-231-7300	5:00 pm	6:00 pm	Choose from 2 Tapas-Style Appetizers and 3 Cocktails for $5.50 Each; $5 Local Drafts
Bar Hygge	1720 Spring Garden Avenue	215 765-2274	4:00 pm	6:00 pm	Discounted House Made Beer $5 Specialty Snacks
Bar Philadelphia	1309 Sansom Street		5:00 pm	7:00 pm	$1 Off All Drafts, $2 PBRs & Narragansetts, $4 Picklebacks & Fireballs
Bar-Ly	101 N. 11th Street	215-922-2688	3:30 pm	6:30 pm	$3.25 domestic bottles; $3.50 import bottles; $3 draft beer; $4.25 cocktails; $4 martinis; $3.50 house red and white wines; $3.50 small carafe sake; $6.25 large carafe sake; $5 wine flights; $1.25 skewers, steamers, Raw Bar; $3/$3.50 snacks
Bar-Ly	101 N. 11th Street	215-922-2688	10:00 pm	12:00 am	$3.25 domestic bottles; $3.50 import bottles; $3 draft beer; $4.25 cocktails; $4 martinis; $3.50 house red and white wines; $3.50 small carafe sake; $6.25 large carafe sake; $5 wine flights; $1.25 skewers, steamers, Raw Bar; $3/$3.50 snacks
Barbuzzo	110 S. 13th Street	215-546-9300	10:30 pm	12:00 am	$4 draft beer, $5 glasses of Sangria, $6 glasses of wine, $10 dishes
Barcade	1114 Frankford Avenue	215-634-4400	4:00 pm	7:00 pm	$7 Fisherman’s brew and Jim Beam shots, $1 off beer and well drinks
Barclay Prime	237 S. 18th Street	215-732-7560	5:00 pm	6:30 pm	Lounge Only: $6 Select Cocktails
