Eulogy Belgian Tavern	136 Chestnut Street	5:00 pm	7:00 pm	$3 Stella, Leffe, & Hoegaarden
Standard Tap	901 N 2nd Street	4:00 pm	6:00 pm	1/2 off weekly featured cocktail (rotating), 1/2 off weekly featured brewery beers (rotating), discount happy hour snacks
Bainbridge Street Barrel House	625-27 S. 6th Street	4:30 pm	6:30 pm	1/2 price drafts; $5 glasses of chardonnay and cabernet
Cavanaugh's Rittenhouse	1823 Sansom Street	11:30 am	12:00 am	$3.75 Bud Light Bottles; 1/2 Price Cheesesteaks
Cavanaugh's Rittenhouse	1823 Sansom Street	5:00 pm	7:00 pm	$2 off beer, wine and mixed drinks; half priced pub menu
12 Steps Down	831 Christian Street	11:00 am	3:00 pm	$3 Bloody Mary's & Mimosas
12 Steps Down	831 Christian Street	5:00 pm	7:00 pm	Discounted drinks
13 Restaurant	1201 Market Street	5:00 pm	7:00 pm	$3 All Drafts, $5 Cosmos
1518 Bar and Grill	1518 Sansom Street	5:00 pm	7:00 pm	$1 Off All Beer, $5 Merlot and Chardonnay, $5 Well Drinks
2nd Story Brewing	117 Chestnut Street	11:30 am	2:00 am	$4 Select Drafts, $7.50 Flights
2nd Street Brew House	1700 S 2nd Street	4:00 pm	6:00 pm	$3 select drafts & discounted food
700, The	700 N 2nd Street	5:00 pm	7:00 pm	$1 off everything
a.bar	135 S 18th Street	4:00 pm	6:00 pm	$4 Rotating Draft Beer; $1.50 Rotating Oyster in the Half Shell; $10 Raw Bar Tasting of 2 Items; $9 Cheese Plate; $8 House-Crafted Punch; $8 Select Red or White Wine
Abbaye	637 N. 3rd Street	4:00 pm	6:00 pm	$2 Off Drafts; $3 Wells; $5 Wines; Nothing Over $5 Happy Hour Menu
Abe Fisher	1623 Sansom Street	5:00 pm	7:00 pm	$5 Bites $7 Select Cocktails and Wine
Adobe Cafe - South Philly	1919 E. Passyunk Avenue	4:30 pm	6:30 pm	$2 off house Margaritas, $1 Off mixed drinks and beers, $0.45 wings, $4-5 food menu
Aki	1210 Walnut Street	4:30 pm	7:00 pm	$3 beer, $4 wine and $6 specialty cocktails and sake
Alla Spina	1410 Mount Vernon Street	4:30 pm	6:30 pm	$3 Brooklyn cans and Fernet Branca shots, half off select local drafts, $4 Deschutes Mirror Pond bottles, $6 select wines and $7 Negroni on tap; special snack menu
Alma de Cuba	1623 Walnut Street	4:00 pm	7:00 pm	$6 Select Cocktails and $6 Select Tapas in Downstairs Lounge and Bar
