Standard Tap	901 N 2nd Street	4:00 pm	6:00 pm	1/2 off weekly featured cocktail (rotating), 1/2 off weekly featured brewery beers (rotating), discount happy hour snacks
1 Tippling Place	2006 Chestnut Street	5:00 pm	7:00 pm	$1-2 off Select Cocktails; $5 Fish House Punch
Bainbridge Street Barrel House	625-27 S. 6th Street	4:30 pm	6:30 pm	1/2 price drafts; $5 glasses of chardonnay and cabernet
Cavanaugh's Rittenhouse	1823 Sansom Street	11:30 am	2:00 am	$4 select craft drafts and $6 Crown Royal Apple shots
Cavanaugh's Rittenhouse	1823 Sansom Street	5:00 pm	7:00 pm	$2 off beer, wine and mixed drinks; half priced pub menu
Cavanaugh's Rittenhouse	1823 Sansom Street	10:00 pm	12:00 am	$2 off beer, wine and mixed drinks; half priced pub menu
Eulogy Belgian Tavern	136 Chestnut Street	5:00 pm	7:00 pm	$3 Stella, Leffe, & Hoegaarden
M Restaurant at The Morris House	231 S. 8th Street	4:00 pm	10:00 pm	3 for $15 Bar Bites at the Bar and Outdoor Cocktail Area
M Restaurant at The Morris House	231 S. 8th Street	4:00 pm	6:00 pm	$4 Beers; $6 Wines, $6 Cocktails; 3 for $15 Bar Bites
1 Tippling Place	2006 Chestnut Street	5:00 pm	7:00 pm	$1-2 off Select Cocktails; $5 Fish House Punch
12 Steps Down	831 Christian Street	11:00 am	3:00 pm	$3 Bloody Mary's & Mimosas
12 Steps Down	831 Christian Street	5:00 pm	7:00 pm	Discounted drinks
12 Steps Down	831 Christian Street	8:00 pm	10:00 pm	
13 Restaurant	1201 Market Street	5:00 pm	7:00 pm	$3 All Drafts, $5 Cosmos
1518 Bar and Grill	1518 Sansom Street	5:00 pm	7:00 pm	$1 Off All Beer, $5 Merlot and Chardonnay, $5 Well Drinks
2nd Story Brewing	117 Chestnut Street	11:30 am	2:00 am	$4 Select Drafts, $7.50 Flights
2nd Street Brew House	1700 S 2nd Street	4:00 pm	6:00 pm	$3 select drafts & discounted food
2nd Street Brew House	1700 S 2nd Street	8:30 pm	9:30 pm	
700, The	700 N 2nd Street	5:00 pm	7:00 pm	$1 off everything
a.bar	135 S 18th Street	4:00 pm	6:00 pm	$4 Rotating Draft Beer; $1.50 Rotating Oyster in the Half Shell; $10 Raw Bar Tasting of 2 Items; $9 Cheese Plate; $8 House-Crafted Punch; $8 Select Red or White Wine
Abbaye	637 N. 3rd Street	4:00 pm	6:00 pm	$2 Off Drafts; $3 Wells; $5 Wines; Nothing Over $5 Happy Hour Menu
Abe Fisher	1623 Sansom Street	5:00 pm	7:00 pm	$5 Bites $7 Select Cocktails and Wine
